year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2008,SOUTH DAKOTA,237889,,,142784,DEMOCRAT
2008,TENNESSEE,767236,,77872,1579477,REPUBLICAN
2008,TEXAS,3389365,185241,,4337469,REPUBLICAN
2008,VIRGINIA,2369327,20269,24868,1228830,DEMOCRAT
2008,WEST VIRGINIA,447560,,119,254629,DEMOCRAT
2008,WYOMING,126833,,684,372109,REPUBLICAN
2010,ALABAMA,515619,,1699,968181,REPUBLICAN
2010,ALASKA,60045,1459,103160,90839,REPUBLICAN
2010,ARIZONA,592011,80097,30761,1005615,REPUBLICAN
2010,ARKANSAS,288156,,40183,451618,REPUBLICAN
2010,CALIFORNIA,5218441,175242,389111,4217366,DEMOCRAT
2010,COLORADO,851590,22589,75376,822731,DEMOCRAT
2010,CONNECTICUT,605204,,49570,498341,DEMOCRAT
2010,DELAWARE,174012,2101,8236,123053,DEMOCRAT
2010,FLORIDA,1092936,24850,1647577,2645743,REPUBLICAN
2010,GEORGIA,996516,68750,88,1489904,REPUBLICAN
2010,HAWAII,277228,2957,10459,79939,DEMOCRAT
2010,IDAHO,112057,,17520,319953,REPUBLICAN
2010,ILLINOIS,1719478,87247,119050,1778698,REPUBLICAN
2010,INDIANA,697775,94330,260,952116,REPUBLICAN
2010,IOWA,371686,25290,872,718215,REPUBLICAN
2010,KANSAS,220971,17922,11624,587175,REPUBLICAN
2010,KENTUCKY,600052,,338,755706,REPUBLICAN
2010,LOUISIANA,476572,13957,59050,715415,REPUBLICAN
2010,MARYLAND,1140615,,37577,655666,DEMOCRAT
2010,MISSOURI,789736,58663,41340,1054160,REPUBLICAN
2010,NEVADA,362785,,37258,321361,DEMOCRAT
2010,NEW HAMPSHIRE,167545,4753,9194,273218,REPUBLICAN
2010,NEW YORK,5885564,43285,1014772,2577913,DEMOCRAT
2010,NORTH CAROLINA,1145074,55687,1272,1458046,REPUBLICAN
2010,NORTH DAKOTA,52955,3890,,181689,REPUBLICAN
2010,OHIO,1503297,,143059,2168742,REPUBLICAN
2010,OKLAHOMA,265814,,32855,718482,REPUBLICAN
2010,OREGON,825507,16028,34854,566199,DEMOCRAT
2010,PENNSYLVANIA,1948716,,,2028945,REPUBLICAN
2010,SOUTH CAROLINA,364598,,143425,810771,REPUBLICAN
2010,SOUTH DAKOTA,,,,227947,REPUBLICAN
2010,UTAH,191732,,33095,360403,REPUBLICAN
2010,VERMONT,151281,,11198,72699,DEMOCRAT
2010,WASHINGTON,1314930,,,1196164,DEMOCRAT
2010,WEST VIRGINIA,283358,,16577,230013,DEMOCRAT
2010,WISCONSIN,1020958,,24240,1126133,REPUBLICAN
2012,ARIZONA,1036542,102109,314,1104457,REPUBLICAN
2012,CALIFORNIA,7864624,,,4713887,DEMOCRAT
2012,CONNECTICUT,792983,25045,89167,604569,DEMOCRAT
2012,DELAWARE,265415,,18491,115700,DEMOCRAT
2012,FLORIDA,4523451,,208228,3458267,DEMOCRAT
2012,HAWAII,269489,,6676,160994,DEMOCRAT
2012,INDIANA,1281181,145282,18,1133621,DEMOCRAT
2012,MAINE,92900,,416421,215399,OTHER
2012,MARYLAND,1474028,32252,433663,693291,DEMOCRAT
2012,MASSACHUSETTS,1696346,,29802,1458048,DEMOCRAT
2012,MICHIGAN,2735826,84480,65226,1767386,DEMOCRAT
2012,MINNESOTA,1854595,,120638,867974,DEMOCRAT
2012,MISSISSIPPI,503467,,28475,709626,REPUBLICAN
2012,MISSOURI,1494125,165468,41,1066159,DEMOCRAT
2012,MONTANA,236123,31892,,218051,DEMOCRAT
2012,NEBRASKA,332979,,,455593,REPUBLICAN
2012,NEVADA,446080,,94069,457656,REPUBLICAN
2012,NEW JERSEY,1987680,16803,42632,1329534,DEMOCRAT
2012,NEW MEXICO,395717,,28816,351260,DEMOCRAT
2012,NEW YORK,4420043,31894,1150044,1514647,DEMOCRAT
2012,NORTH DAKOTA,161337,,1406,158401,DEMOCRAT
2012,OHIO,2762690,,250616,2435712,DEMOCRAT
2012,PENNSYLVANIA,3021364,96926,,2509132,DEMOCRAT
2012,RHODE ISLAND,271034,,933,146222,DEMOCRAT
2012,TENNESSEE,705882,,109152,1506443,REPUBLICAN
2012,TEXAS,3194927,162354,67404,4440137,REPUBLICAN
2012,UTAH,301873,,47420,657608,REPUBLICAN
2012,VERMONT,,,219864,72898,OTHER
2012,VIRGINIA,2010067,,6587,1785542,DEMOCRAT
2012,WASHINGTON,1855493,,,1213924,DEMOCRAT
2012,WEST VIRGINIA,399898,,19517,240787,DEMOCRAT
2012,WISCONSIN,1547104,62240,19941,1380126,DEMOCRAT
2012,WYOMING,53019,,12431,185250,REPUBLICAN
2014,ALABAMA,,,22484,795606,REPUBLICAN
2014,ALASKA,129431,10512,7012,135445,REPUBLICAN
2014,ARKANSAS,334174,17210,17302,478819,REPUBLICAN
2014,COLORADO,944203,52876,60088,983891,REPUBLICAN
2014,DELAWARE,130655,,4560,98823,DEMOCRAT
2014,GEORGIA,1160811,48862,44,1358088,REPUBLICAN
2014,HAWAII,246827,8941,15929,98006,DEMOCRAT
2014,IDAHO,151574,,,285596,REPUBLICAN
2014,ILLINOIS,1929637,135316,44,1538522,DEMOCRAT
2014,IOWA,494370,8232,38523,588575,REPUBLICAN
2014,KANSAS,,37469,368372,460350,REPUBLICAN
2014,KENTUCKY,584698,44240,143,806787,REPUBLICAN
2014,LOUISIANA,1581041,13034,,1929108,REPUBLICAN
2014,MAINE,190254,,13237,413505,REPUBLICAN
2014,MASSACHUSETTS,1289944,,104895,791950,DEMOCRAT
2014,MICHIGAN,1704936,62897,63739,1290199,DEMOCRAT
2014,MINNESOTA,1053205,29685,48411,850227,DEMOCRAT
2014,MISSISSIPPI,239439,,13938,378481,REPUBLICAN
2014,MONTANA,148184,7933,,213709,REPUBLICAN
2014,NEBRASKA,170127,,22574,347636,REPUBLICAN
2014,NEW HAMPSHIRE,251184,,1628,235347,DEMOCRAT
2014,NEW JERSEY,1043866,16721,17651,791297,DEMOCRAT
2014,NEW MEXICO,286409,,,229097,DEMOCRAT
2014,NORTH CAROLINA,1377651,109100,5271,1423259,REPUBLICAN
2014,OKLAHOMA,472230,,54225,1115168,REPUBLICAN
2014,OREGON,814537,44916,63318,538847,DEMOCRAT
2014,RHODE ISLAND,223675,,539,92684,DEMOCRAT
2014,SOUTH CAROLINA,916309,33839,98753,1430156,REPUBLICAN
2014,SOUTH DAKOTA,82456,,56215,140741,REPUBLICAN
2014,TENNESSEE,437848,,86130,850087,REPUBLICAN
2014,TEXAS,1597387,133751,55689,2861531,REPUBLICAN
2014,VIRGINIA,1073667,53102,1764,1055940,DEMOCRAT
2014,WEST VIRGINIA,156360,7409,8100,281820,REPUBLICAN
2014,WYOMING,29377,3677,16545,121554,REPUBLICAN
2016,ALABAMA,748709,,3631,1335104,REPUBLICAN
2016,ALASKA,36200,90825,46267,138149,REPUBLICAN
2016,ARIZONA,1031245,,139724,1359761,REPUBLICAN
2016,ARKANSAS,400602,43866,1070,661984,REPUBLICAN
2016,CALIFORNIA,12244170,,,,DEMOCRAT
2016,COLORADO,1370710,99277,57718,1215318,DEMOCRAT
2016,CONNECTICUT,920766,18190,104699,552621,DEMOCRAT
2016,FLORIDA,4122088,196956,147585,4835191,REPUBLICAN
2016,GEORGIA,1599726,162260,813,2135806,REPUBLICAN
2016,HAWAII,306604,6809,31598,92653,DEMOCRAT
2016,IDAHO,188249,,41677,449017,REPUBLICAN
2016,ILLINOIS,3012940,175988,118258,2184692,DEMOCRAT
2016,INDIANA,1158947,149481,127,1423991,REPUBLICAN
2016,IOWA,549460,41794,23775,926007,REPUBLICAN
2016,KANSAS,379740,65760,46,732376,REPUBLICAN
2016,KENTUCKY,813246,,42,1090177,REPUBLICAN
2016,LOUISIANA,705271,15437,37021,1239489,REPUBLICAN
2016,MARYLAND,1659907,,93706,972557,DEMOCRAT
2016,MISSOURI,1300200,67738,56241,1378458,REPUBLICAN
2016,NEVADA,521994,,91221,495079,DEMOCRAT
2016,NEW HAMPSHIRE,354649,12597,18262,353632,DEMOCRAT
2016,NEW YORK,4784220,48121,1244457,1723927,DEMOCRAT
2016,NORTH CAROLINA,2128165,167592,,2395376,REPUBLICAN
2016,NORTH DAKOTA,58116,10556,5041,268788,REPUBLICAN
2016,OHIO,1996908,,258689,3118567,REPUBLICAN
2016,OKLAHOMA,355911,43421,67823,980892,REPUBLICAN
2016,OREGON,1105119,23941,172312,651106,DEMOCRAT
2016,PENNSYLVANIA,2865012,235142,,2951702,REPUBLICAN
2016,SOUTH CAROLINA,704540,24830,78914,1241609,REPUBLICAN
2016,SOUTH DAKOTA,104140,,,265516,REPUBLICAN
2016,UTAH,301858,,53505,760220,REPUBLICAN
2016,VERMONT,192243,,24587,103637,DEMOCRAT
2016,WASHINGTON,1913979,,,1329338,DEMOCRAT
2016,WISCONSIN,1380335,87531,1404,1479471,REPUBLICAN
2018,ARIZONA,1191100,,58008,1135200,DEMOCRAT
2018,CALIFORNIA,11113364,,,,DEMOCRAT
2018,CONNECTICUT,787685,8838,44600,545717,DEMOCRAT
2018,DELAWARE,217385,3910,4170,137127,DEMOCRAT
2018,FLORIDA,4089472,,1028,4099505,REPUBLICAN
2018,HAWAII,276316,,,112035,DEMOCRAT
2018,INDIANA,1023553,100942,70,1158000,REPUBLICAN
2018,MAINE,66268,,344639,223502,OTHER
2018,MARYLAND,1491614,22943,88315,697017,DEMOCRAT
2018,MASSACHUSETTS,1633371,,94509,979210,DEMOCRAT
2018,MICHIGAN,2214478,,83975,1938818,DEMOCRAT
2018,MINNESOTA,2936714,,211307,2036214,DEMOCRAT
2018,MISSISSIPPI,790386,12981,6048,1034388,REPUBLICAN
2018,MISSOURI,1112935,27316,47111,1254927,REPUBLICAN
2018,MONTANA,253876,14545,,235963,DEMOCRAT
2018,NEBRASKA,269917,25349,466,403151,REPUBLICAN
2018,NEVADA,490071,9196,31663,441202,DEMOCRAT
2018,NEW JERSEY,1711654,21212,79089,1357355,DEMOCRAT
2018,NEW MEXICO,376998,107201,,212813,DEMOCRAT
2018,NEW YORK,3755489,,569223,1730439,DEMOCRAT
2018,NORTH DAKOTA,144376,,2042,179720,REPUBLICAN
2018,OHIO,2355923,,1012,2053963,DEMOCRAT
2018,PENNSYLVANIA,2777680,50907,31208,2134848,DEMOCRAT
2018,RHODE ISLAND,231477,,840,144421,DEMOCRAT
2018,TENNESSEE,985450,,30807,1227483,REPUBLICAN
2018,TEXAS,4045632,65470,,4260553,REPUBLICAN
2018,UTAH,328541,27607,41482,665215,REPUBLICAN
2018,VERMONT,,,197961,74663,OTHER
2018,VIRGINIA,1910370,61565,5125,1374313,DEMOCRAT
2018,WASHINGTON,1803364,,,1282804,DEMOCRAT
2018,WEST VIRGINIA,288808,24231,,269872,DEMOCRAT
2018,WISCONSIN,1472914,,42,1184885,DEMOCRAT
2018,WYOMING,61227,5658,325,136210,REPUBLICAN
2020,ALABAMA,920478,,3891,1392076,REPUBLICAN
2020,ALASKA,146068,,17407,191112,REPUBLICAN
