YEAR,STATE_NAME,STATE_NUMBER,REGION,DIVISION,TOTAL_POPULATION,RACE_WHITE,RACE_BLACK,RACE_OTHER,AGE_0_TO_19,AGE_20_TO_39,AGE_40_TO_59,AGE_60_TO_79,AGE_80_AND_OVER,ORIGIN_HISPANIC,ORIGIN_NOT_HISPANIC,SEX_FEMALE,SEX_MALE
2003,Maine,23,Northeast,New England ,1306513,1263512,10453,32548,333646,321853,400641,197901,52472,12520,1293993,668680,637833
2003,Maryland,24,South,South Atlantic,5496269,3541596,1589203,365470,1526497,1515877,1597634,689051,167210,297565,5198704,2843847,2652422
2003,Massachusetts,25,Northeast,New England ,6422565,5584298,439837,398430,1678346,1803763,1819430,860479,260547,490907,5931658,3320817,3101748
2003,Michigan,26,Midwest,East North Central,10041152,8167476,1442059,431617,2859024,2700833,2815295,1323331,342669,369577,9671575,5110521,4930631
2003,Minnesota,27,Midwest,West North Central,5053572,4536583,211770,305219,1435346,1388118,1418511,624512,187085,179719,4873853,2546999,2506573
2003,Mississippi,28,South,East South Central,2868312,1766235,1046235,55842,851364,791535,755239,381039,89135,51817,2816495,1479611,1388701
2003,Missouri,29,Midwest,West North Central,5709403,4868796,656313,184294,1588704,1528785,1573363,804487,214064,146861,5562542,2926556,2782847
2003,Montana,30,West,Mountain,919630,835759,3619,80252,252166,224662,273928,133251,35623,21814,897816,460116,459514
2003,Nebraska,31,Midwest,West North Central,1738643,1598208,74415,66020,503725,465039,468496,230485,70898,118380,1620263,879362,859281
2003,Nevada,32,West,Mountain,2248850,1850553,167550,230747,621575,652518,616163,306559,52035,495379,1753471,1108135,1140715
2003,New Hampshire,33,Northeast,New England ,1279840,1228935,12493,38412,348196,330593,393354,165279,42418,27025,1252815,648513,631327
2003,New Jersey,34,Northeast,Middle Atlantic,8601402,6622522,1243880,735000,2330306,2328615,2452821,1169229,320431,1263523,7337879,4421964,4179438
2003,New Mexico,35,West,Mountain,1877574,1590445,41351,245778,559903,496635,513962,250468,56606,817520,1060054,952303,925271
2003,New York,36,Northeast,Middle Atlantic,19175939,14139520,3366096,1670323,5149468,5435179,5285039,2601256,704997,3054405,16121534,9917810,9258129
2003,North Carolina,37,South,South Atlantic,8422501,6221883,1836358,364260,2300840,2408163,2323914,1133115,256469,495533,7926968,4313901,4108600
2003,North Dakota,38,Midwest,West North Central,638817,588683,5277,44857,174891,169568,174725,89652,29981,9714,629103,318896,319921
2003,Ohio,39,Midwest,East North Central,11434788,9739773,1359820,335195,3169697,3038142,3206861,1599562,420526,258609,11176179,5868535,5566253
2003,Oklahoma,40,South,West South Central,3504892,2733754,266870,504268,992384,949685,945353,495886,121584,222946,3281946,1777723,1727169
2003,Oregon,41,West,Pacific,3547376,3214075,63003,270298,949330,971382,1016851,474917,134896,328886,3218490,1788805,1758571
2003,Pennsylvania,42,Northeast,Middle Atlantic,12374658,10646774,1304608,423276,3239738,3161722,3513549,1899186,560463,477457,11897201,6377894,5996764
2003,Rhode Island,44,Northeast,New England ,1071342,950441,66719,54182,283928,293809,299565,145901,48139,107092,964250,555590,515752
2003,South Carolina,45,South,South Atlantic,4150297,2829623,1217203,103471,1149948,1149365,1150435,576209,124340,131166,4019131,2133967,2016330
2003,South Dakota,46,Midwest,West North Central,763729,675551,6575,81603,222664,196035,205572,105384,34074,15088,748641,383633,380096
2003,Tennessee,47,South,East South Central,5847812,4719321,976542,151949,1582280,1633566,1635641,811708,184617,167001,5680811,3000983,2846829
2003,Texas,48,South,West South Central,22030931,18288277,2598399,1144255,6809683,6558869,5692631,2425376,544372,7498587,14532344,11095953,10934978
2003,Utah,49,West,Mountain,2360137,2206161,22684,131292,829424,742293,514332,220837,53251,243047,2117090,1175867,1184270
2003,Vermont,50,Northeast,New England ,617858,597224,4243,16391,163855,155293,190801,85570,22339,6928,610930,314206,303652
2003,Virginia,51,South,South Atlantic,7366977,5427062,1459320,480595,1994268,2111296,2113076,934747,213590,418238,6948739,3757780,3609197
2003,Washington,53,West,Pacific,6104115,5188400,212949,702766,1686857,1723028,1757427,737440,199363,524164,5579951,3065739,3038376
2003,West Virginia,54,South,South Atlantic,1812295,1722107,58573,31615,441697,467730,530731,300292,71845,15166,1797129,925835,886460
2003,Wisconsin,55,Midwest,East North Central,5479203,4931084,329090,219029,1526736,1467758,1543220,729026,212463,237465,5241738,2766901,2712302
